pubdate,source,title,link
2025-07-11-09-51-33 +0000,bbc,"Texans did not immediately receive flood alerts after request, audio reveals",https://www.bbc.com/news/articles/cq537dp2ello
2025-07-11-09-44-24 +0000,bbc,US cuts visa validity for applicants from four African countries,https://www.bbc.com/news/articles/cx23ywg9w82o
2025-07-11-09-44-11 +0000,nyt,Meet the French Game Show Contestant Who Won 646 Times in a Row (and 23 Cars),https://www.nytimes.com/2025/07/11/arts/television/france-game-show.html
2025-07-11-09-30-00 +0000,wsj,"Nuclear power exemplifies how revamping dated and onerous rules could kick-start investment and innovation, writes the WSJ’s Greg Ip",https://www.wsj.com/economy/trumps-unsung-economic-booster-deregulation-e46bce0b
2025-07-11-09-26-43 +0000,bbc,MP Rupert Lowe investigated by standards watchdog,https://www.bbc.com/news/articles/ceq7z421pwzo
2025-07-11-09-25-00 +0000,wsj,"ECB’s Bar for Another Rate Cut Is High, Schnabel Says",https://www.wsj.com/articles/ecbs-bar-for-another-rate-cut-is-high-schnabel-says-fe302495
2025-07-11-09-01-57 +0000,nyt,Behind Trump’s Decision to Tax Brazil to Save Bolsonaro,https://www.nytimes.com/2025/07/11/world/americas/brazil-trump-tariffs.html
2025-07-11-09-01-21 +0000,nyt,How This River in Thailand Was Poisoned,https://www.nytimes.com/video/world/asia/100000010272461/thailand-kok-river-myanmar-rare-earths-explained.html
2025-07-11-09-01-03 +0000,bbc,Mystery interstellar object could be oldest known comet,https://www.bbc.com/news/articles/cx23g5jpj9go
2025-07-11-09-00-36 +0000,nyt,"In ‘Apocalypse in the Tropics,’ Director Petra Costa Examines Brazil’s Rightward Shift",https://www.nytimes.com/2025/07/11/movies/petra-cotsa-brazil-politics-documentary.html
2025-07-11-08-57-33 +0000,bbc,Watch: Child migrants' fears trying to cross the Channel,https://www.bbc.com/news/videos/c36x3k6y4zzo
2025-07-11-08-57-06 +0000,bbc,"Nigeria has 'enough problems' and can't take deportees from US, minister says",https://www.bbc.com/news/articles/c23gz78v5jjo
2025-07-11-08-57-04 +0000,bbc,What is an Isa and how might the rules change?,https://www.bbc.com/news/articles/c0k7enxkxndo
2025-07-11-08-48-20 +0000,bbc,Reeves disappointed after economy unexpectedly shrinks,https://www.bbc.com/news/articles/cq6mvem8neno
2025-07-11-08-46-14 +0000,nyt,Rubio and Chinese Diplomat Vie for Influence in Asia Over Trump’s Tariffs,https://www.nytimes.com/2025/07/11/us/politics/china-us-asia-tariffs.html
2025-07-11-08-28-20 +0000,bbc,Plans for cash Isa changes on hold after backlash,https://www.bbc.com/news/articles/cqjq9yxkkrvo
2025-07-11-08-27-14 +0000,nyt,Manitoba Declares Second Wildfire Emergency in a Near-Record Year,https://www.nytimes.com/2025/07/11/world/americas/manitoba-wildfires-2025.html
2025-07-11-08-23-15 +0000,bbc,Heathrow aims to add 10m annual passengers by 2031,https://www.bbc.com/news/articles/c4gdj2epe04o
2025-07-11-08-14-13 +0000,bbc,'I created it myself': The boy behind the viral 'aura farming' boat racing dance,https://www.bbc.com/news/articles/czxe7ey59r0o
2025-07-11-08-06-08 +0000,bbc,"UK-France migrant deal 'robust' against legal challenges, Cooper says",https://www.bbc.com/news/articles/cx24d70gw41o
2025-07-11-07-00-59 +0000,bbc,Kurdish PKK to lay down arms in big step towards ending Turkey conflict,https://www.bbc.com/news/articles/cyvj5v67ly9o
2025-07-11-06-59-00 +0000,wsj,U.K. Economy Unexpectedly Slumps to Second Straight Month of Contraction,https://www.wsj.com/economy/global/u-k-economy-slumps-to-second-straight-month-of-contraction-40cb4c11
2025-07-11-05-43-45 +0000,bbc,Justin Bieber stands on business with surprise new album,https://www.bbc.com/news/articles/ce8zwz0jp17o
2025-07-11-05-26-43 +0000,nyt,What to Know About the Rare Earths Mining Boom in Myanmar,https://www.nytimes.com/2025/07/11/world/asia/rare-earths-boom-myanmar.html
2025-07-11-05-25-20 +0000,nyt,Rare Earths Mining in Myanmar Is Polluting Thailand’s Kok River,https://www.nytimes.com/2025/07/11/world/asia/myanmar-mining-thailand-china.html
2025-07-11-05-15-20 +0000,bbc,"Never seen that lady in my life, pupils say of FM",https://www.bbc.com/news/articles/c5y02pdzk0no
2025-07-11-05-00-27 +0000,bbc,Starmer and Macron plead for patience in an impatient world,https://www.bbc.com/news/articles/clynxqdr157o
2025-07-11-05-00-11 +0000,nyt,"Friday Briefing: Iran Has Some Uranium Left, Israel Says",https://www.nytimes.com/2025/07/11/briefing/iran-enriched-uranium-israel-ukraine-spy-france-britain-defense.html
2025-07-11-04-36-27 +0000,bbc,Trump threatens 35% tariffs on Canadian goods,https://www.bbc.com/news/articles/cvg819n954mo
2025-07-11-04-00-23 +0000,nyt,The Mystery of Trump’s 25% Tariff Threat on Kazakhstan,https://www.nytimes.com/2025/07/11/business/trump-tariffs-kazakhstan.html
2025-07-11-03-34-23 +0000,bbc,"War crimes being committed in Sudan, ICC believes",https://www.bbc.com/news/articles/cvg819yxkp5o
2025-07-11-02-39-47 +0000,bbc,Watch: Smoke billows from luxury yacht fire in St Tropez,https://www.bbc.com/news/videos/c4g85005q93o
2025-07-11-01-50-02 +0000,bbc,Judge blocks Trump's birthright order after Supreme Court ruling,https://www.bbc.com/news/articles/c0l4jw5glplo
2025-07-11-00-45-05 +0000,bbc,Asia is reeling from Trump's tariff salvo – is anyone winning?,https://www.bbc.com/news/articles/ckg5l2yy42eo
2025-07-11-00-27-06 +0000,bbc,'We're worried about our future': Srebrenica massacre's tensions still felt 30 years on,https://www.bbc.com/news/articles/c4g2edzg2wlo
2025-07-10-23-38-25 +0000,bbc,Is there a secret formula for election-winning slogans?,https://www.bbc.com/news/articles/cjel1wlq7vdo
2025-07-10-23-33-41 +0000,nyt,"At Least 13 People Died by Suicide Amid U.K. Post Office Scandal, Report Says",https://www.nytimes.com/2025/07/10/world/europe/uk-post-office-scandal-report.html
2025-07-10-23-33-34 +0000,bbc,Row over language turns violent in India's richest state,https://www.bbc.com/news/articles/c93kwqvw3jxo
2025-07-10-23-29-11 +0000,nyt,3 Teenagers Arrested Over Cyberattacks That Cost U.K. Retailers Millions,https://www.nytimes.com/2025/07/10/business/cyber-attack-arrests-marks-spencers-harrods-coop.html
2025-07-10-23-23-47 +0000,bbc,Mahmoud Khalil files $20m claim against Trump administration,https://www.bbc.com/news/articles/cvg4188gl4zo
2025-07-10-23-11-30 +0000,nyt,China Surveys Seabeds Where Naval Rivals May One Day Clash,https://www.nytimes.com/2025/07/10/world/asia/china-ships-taiwan-guam.html
2025-07-10-23-05-30 +0000,bbc,"'Autofocus' specs promise sharp vision, near or far",https://www.bbc.com/news/articles/cj6r06d7xdjo
2025-07-10-22-59-09 +0000,bbc,"In the country with the world's lowest birth rate, fertility clinics are booming",https://www.bbc.com/news/articles/c20wg50l563o
2025-07-10-22-45-28 +0000,bbc,Secret Service suspended staff for failings in Trump assassination attempt,https://www.bbc.com/news/articles/cy0w9ev559ro
2025-07-10-22-00-03 +0000,bbc,"UK to return some migrants to France within weeks, PM says",https://www.bbc.com/news/articles/c4g2edx410wo
