score,pubdate,source,title,link
34,2025-06-04-22-41-13 +0000,nyt,Trump and Putin Discuss Ukraine Drone Strike and Iran Nuclear Deal in Phone Call,https://www.nytimes.com/2025/06/04/us/politics/trump-putin-ukraine.html
30,2025-06-04-12-55-54 +0000,nyt,"As Trump’s Tariffs Nudge Canada Toward Free Interprovincial Trade, Gerard Comeau Gets His Revenge",https://www.nytimes.com/2025/06/04/world/canada/trump-canada-province-trade-beer.html
28,2025-06-04-22-19-00 +0000,wsj,Trump Administration Threatens to Pull Funding for California High-Speed Rail,https://www.wsj.com/us-news/trump-administration-threatens-to-pull-funding-for-california-high-speed-rail-c2b05d4d
27,2025-06-05-02-00-00 +0000,wsj,Trump Halts New Foreign Student Enrollment at Harvard,https://www.wsj.com/us-news/education/trump-issues-proclamation-suspending-foreign-students-at-harvard-e62859c4
27,2025-06-04-21-31-04 +0000,nyt,"Putin Intends to Respond to Ukraine Strikes on Russian Bombers, Trump Says",https://www.nytimes.com/2025/06/04/world/europe/putin-zelensky-accusations-escalation.html
26,2025-06-04-19-08-29 +0000,nyt,Trump Delighted by Saudi Deal for Two Rare Arabian Leopards,https://www.nytimes.com/2025/06/04/us/politics/leopards-trump-saudi.html
25,2025-06-05-01-35-00 +0000,wsj,Trump’s Crackdown on Foreign Students Threatens to Disrupt Pipeline of Inventors,https://www.wsj.com/us-news/education/trump-international-student-inventors-6a449fe1
24,2025-06-04-16-44-16 +0000,nyt,"As Trump Wavers, Europe Is More Optimistic About Defending Ukraine",https://www.nytimes.com/2025/06/04/world/europe/ukraine-europe-nato.html
24,2025-06-04-15-51-53 +0000,nyt,Trump Budget Eliminates Funding for Crucial Global Vaccination Programs,https://www.nytimes.com/2025/06/04/health/trump-budget-global-health-polio.html
23,2025-06-04-16-00-00 +0000,wsj,Trump’s Old High School Is in Trouble (Again). Can a Chinese Businessman Fix It?,https://www.wsj.com/us-news/education/trumps-old-high-school-is-in-trouble-again-can-a-chinese-businessman-fix-it-68f45c7f
22,2025-06-04-22-34-00 +0000,wsj,Trump Administration Attacks Columbia’s Accreditation,https://www.wsj.com/us-news/education/trump-administration-attacks-columbias-accreditation-54e4fa72
22,2025-06-04-17-57-19 +0000,nyt,"U.K. Exempt From Trump’s 50% Steel Tariff, but Europe Still Has to Pay",https://www.nytimes.com/2025/06/04/business/uk-trump-tariffs-steel.html
21,2025-06-04-21-02-59 +0000,nyt,Thursday Briefing: Trump’s Call With Putin,https://www.nytimes.com/2025/06/04/briefing/trump-putin-gaza-hajj-switch-2.html
21,2025-06-04-18-32-00 +0000,wsj,Opinion | Donald Trump Needs the Likes of Leonard Leo,https://www.wsj.com/opinion/donald-trump-needs-the-likes-of-leonard-leo-federalist-society-cd07b1a0
20,2025-06-04-17-09-00 +0000,wsj,"The Bank of Canada left its main interest rate unchanged, at 2.75%, saying the economy has softened but not deteriorated, and inflation has picked up steam",https://www.wsj.com/articles/bank-of-canada-keeps-policy-rate-steady-at-2-75-cc33f1b4
20,2025-06-05-03-22-03 +0000,nyt,Trump Travel Order Bans People From 12 Countries From Entering U.S.,https://www.nytimes.com/2025/06/04/us/politics/trump-travel-ban.html
19,2025-06-04-13-48-50 +0000,nyt,"Jacinda Ardern, New Zealand’s Former Prime Minister, Pushes Kindness in New Book",https://www.nytimes.com/2025/06/03/style/jacinda-ardern-book-new-zealand.html
18,2025-06-04-21-52-15 +0000,nyt,Trump Wants America to Make Things Again. Does It Have What It Takes?,https://www.nytimes.com/2025/06/04/business/trump-us-manufacturing.html
17,2025-06-04-19-27-00 +0000,wsj,Some economists are beginning to question the accuracy of recent U.S. inflation data after the federal government said staffing shortages hampered its ability to conduct a massive monthly survey,https://www.wsj.com/economy/cpi-inflation-data-accuracy-8bd2a8ae
17,2025-06-04-22-08-32 +0000,nyt,Why South Korea’s New Leader Name Checked North Korea but Not China,https://www.nytimes.com/2025/06/04/world/asia/south-korea-president-north-china.html
16,2025-06-05-03-49-26 +0000,nyt,Drone Attacks Are the New Front in War. Can NATO Keep Up?,https://www.nytimes.com/2025/06/04/world/europe/ukraine-russia-drones-nato.html
15,2025-06-04-13-42-43 +0000,nyt,"Ayatollah Khamenei, Iran’s Supreme Leader, Calls U.S. Nuclear Deal Proposal ‘Nonsense’",https://www.nytimes.com/2025/06/04/world/middleeast/iran-nuclear-uranium-trump.html
12,2025-06-04-22-07-03 +0000,nyt,Israeli-Backed Aid Sites in Gaza Close Temporarily After Deadly Shootings,https://www.nytimes.com/2025/06/04/world/middleeast/israeli-aid-sites-gaza.html
10,2025-06-04-13-01-50 +0000,nyt,"Meet Rachel Hauck, the Set Designer Behind the Tony-Nominated Ship From ‘Swept Away’",https://www.nytimes.com/2025/06/04/arts/rachel-hauck-swept-away-set-design-tonys-2025.html
9,2025-06-04-14-01-42 +0000,nyt,Jury in El Salvador Convicts 3 Ex-Officers in 1982 Killings of Dutch Journalists,https://www.nytimes.com/2025/06/04/world/americas/el-salvador-killings-dutch-journalists-1982.html
9,2025-06-04-20-15-29 +0000,nyt,Israel Says It Made Record Weapons Sales Abroad While Fighting War,https://www.nytimes.com/2025/06/04/world/middleeast/israel-weapons-sales.html
9,2025-06-04-16-49-52 +0000,nyt,"Pierre Nora, 93, Who Probed Role of Memory in the Writing of History, Dies",https://www.nytimes.com/2025/06/03/books/pierre-nora-dead.html
9,2025-06-04-18-15-00 +0000,wsj,Man Charged With Providing Explosive Materials for Palm Springs Fertility Clinic Bombing,https://www.wsj.com/us-news/daniel-park-fertility-clinic-arrest-2db2c7ca
