word,score
s,76
trump,46
u,29
south,18
new,12
gaza,10
says,10
tariffs,10
president,10
canada,10
mexico,10
about,10
it,9
court,9
will,9
trade,9
ukraine,8
korea,8
what,8
but,8
economy,7
know,7
by,7
administration,6
not,6
inflation,6
home,6
after,6
opinion,6
economic,6
his,6
who,6
said,5
aid,5
fire,5
up,5
high,5
israel,5
election,5
more,5
keep,5
bank,5
sudan,5
its,5
how,5
leader,4
white,4
cease,4
again,4
have,4
wants,4
that,4
say,4
april,4
putin,4
deal,4
china,4
foreign,4
claims,4
colorado,4
students,4
judicial,4
first,4
market,4
rates,4
down,4
data,4
policy,4
war,4
wildfires,4
has,4
proposal,4
supreme,4
drone,4
global,4
can,4
steel,4
charged,3
interest,3
rate,3
man,3
world,3
over,3
tariff,3
attack,3
amid,3
russia,3
africa,3
could,3
sales,3
some,3
big,3
site,3
threatens,3
back,3
line,3
attacks,3
dies,3
chinese,3
former,3
many,3
does,3
make,3
growth,3
takes,3
why,3
israeli,3
buyers,3
hamas,3
deportation,3
suspect,3
jobs,3
harvard,3
iran,3
african,3
prices,3
last,3
nuclear,3
despite,3
work,2
us,2
strike,2
lower,2
orders,2
order,2
ecb,2
officials,2
than,2
dispute,2
making,2
stop,2
get,2
we,2
judges,2
democracy,2
response,2
second,2
backed,2
close,2
deadly,2
things,2
much,2
now,2
risks,2
state,2
tax,2
n,2
call,2
africans,2
funding,2
use,2
offers,2
ministers,2
town,2
fear,2
north,2
take,2
american,2
crisis,2
services,2
sector,2
housing,2
consumer,2
month,2
deported,2
sentiment,2
all,2
they,2
people,2
judge,2
family,2
brings,2
feeling,2
march,2
week,2
mortgage,2
jobless,2
send,2
office,2
migrants,2
saudi,2
wanted,2
attacker,2
house,2
sanctions,2
small,2
only,2
mostly,2
time,2
open,2
killed,2
least,2
hurt,2
wednesday,2
ended,2
brazilian,2
domestic,2
their,2
vote,2
persecuted,2
year,2
police,2
government,2
two,2
rising,2
this,2
federal,2
xi,2
eurozone,2
weapons,2
rally,2
bailey,2
england,2
fighting,2
while,2
cutting,2
canadian,2
economists,2
parks,2
focus,2
did,2
mount,2
himself,2
candidates,2
briefing,2
respond,2
away,2
main,2
free,2
k,2
near,2
false,2
supply,2
still,2
europe,2
into,2
smoke,2
unchanged,2
saying,2
uncertainty,2
sentenced,2
set,2
meet,2
years,2
dutch,2
trees,2
ex,2
equity,2
trouble,2
manitoba,2
fix,2
old,2
role,2
gloomy,1
nato,1
front,1
countries,1
entering,1
blocks,1
boulder,1
jolting,1
announcements,1
expect,1
give,1
way,1
induced,1
slowdown,1
later,1
heard,1
street,1
upfront,1
purchases,1
teslas,1
saskatchewan,1
mars,1
celebration,1
indian,1
cricket,1
championship,1
school,1
businessman,1
budget,1
eliminates,1
crucial,1
vaccination,1
mood,1
darkens,1
under,1
jury,1
el,1
salvador,1
convicts,1
officers,1
programs,1
ancient,1
dwindling,1
wild,1
thrive,1
sacred,1
ground,1
germans,1
buying,1
electric,1
cars,1
ardern,1
zealand,1
prime,1
minister,1
pushes,1
kindness,1
book,1
ayatollah,1
khamenei,1
calls,1
activity,1
unexpectedly,1
contracts,1
raise,1
convoy,1
kills,1
maritime,1
treasures,1
pierre,1
nora,1
probed,1
memory,1
writing,1
history,1
wavers,1
optimistic,1
defending,1
crowd,1
crush,1
killings,1
journalists,1
jacinda,1
deteriorated,1
picked,1
steam,1
guide,1
nonsense,1
celebrity,1
lawyer,1
thomas,1
girardi,1
seven,1
fraud,1
rachel,1
hauck,1
designer,1
behind,1
madrid,1
tony,1
nominated,1
ship,1
swept,1
puerto,1
rico,1
struggle,1
power,1
comes,1
light,1
nudge,1
toward,1
interprovincial,1
pay,1
left,1
softened,1
australia,1
vulnerable,1
stalls,1
morphs,1
fight,1
gerard,1
comeau,1
gets,1
revenge,1
approaches,1
northeast,1
vietnam,1
abolishes,1
child,1
face,1
deep,1
explosive,1
materials,1
palm,1
springs,1
fertility,1
clinic,1
bombing,1
exempt,1
divisions,1
really,1
attract,1
talented,1
scientists,1
just,1
helped,1
slowing,1
chain,1
inside,1
diddy,1
secret,1
described,1
assistants,1
talks,1
allows,1
enrichment,1
uranium,1
where,1
lee,1
jae,1
myung,1
stands,1
providing,1
wilders,1
withdraws,1
right,1
wing,1
party,1
ice,1
soldiers,1
newark,1
mayor,1
sues,1
attorney,1
alina,1
habba,1
accusing,1
her,1
arrest,1
searching,1
unity,1
conflict,1
bill,1
poor,1
especially,1
likely,1
harvey,1
weinstein,1
should,1
convicted,1
sex,1
crimes,1
prosecutors,1
collapses,1
geert,1
leopards,1
rosana,1
paulino,1
artist,1
wields,1
poetry,1
persistence,1
donald,1
needs,1
likes,1
leonard,1
