score,pubdate,source,title,link
34,2025-06-04-22-41-13 +0000,nyt,Trump and Putin Discuss Ukraine Drone Strike and Iran Nuclear Deal in Phone Call,https://www.nytimes.com/2025/06/04/us/politics/trump-putin-ukraine.html
20,2025-06-04-17-09-00 +0000,wsj,"The Bank of Canada left its main interest rate unchanged, at 2.75%, saying the economy has softened but not deteriorated, and inflation has picked up steam",https://www.wsj.com/articles/bank-of-canada-keeps-policy-rate-steady-at-2-75-cc33f1b4
19,2025-06-04-13-48-50 +0000,nyt,"Jacinda Ardern, New Zealand’s Former Prime Minister, Pushes Kindness in New Book",https://www.nytimes.com/2025/06/03/style/jacinda-ardern-book-new-zealand.html
15,2025-06-04-19-27-00 +0000,wsj,Some economists are beginning to question the accuracy of recent U.S. inflation data after the federal government said staffing shortages hampered its ability to conduct a massive monthly survey,https://www.wsj.com/economy/cpi-inflation-data-accuracy-8bd2a8ae
12,2025-06-04-22-07-03 +0000,nyt,Israeli-Backed Aid Sites in Gaza Close Temporarily After Deadly Shootings,https://www.nytimes.com/2025/06/04/world/middleeast/israeli-aid-sites-gaza.html
12,2025-06-04-22-19-00 +0000,wsj,Trump Administration Threatens to Pull Funding for California High-Speed Rail,https://www.wsj.com/us-news/trump-administration-threatens-to-pull-funding-for-california-high-speed-rail-c2b05d4d
12,2025-06-04-22-08-32 +0000,nyt,Why South Korea’s New Leader Name Checked North Korea but Not China,https://www.nytimes.com/2025/06/04/world/asia/south-korea-president-north-china.html
11,2025-06-04-12-55-54 +0000,nyt,"As Trump’s Tariffs Nudge Canada Toward Free Interprovincial Trade, Gerard Comeau Gets His Revenge",https://www.nytimes.com/2025/06/04/world/canada/trump-canada-province-trade-beer.html
10,2025-06-04-13-01-50 +0000,nyt,"Meet Rachel Hauck, the Set Designer Behind the Tony-Nominated Ship From ‘Swept Away’",https://www.nytimes.com/2025/06/04/arts/rachel-hauck-swept-away-set-design-tonys-2025.html
9,2025-06-05-04-13-00 +0000,wsj,AUD’s Role as Economic Shock Absorber Might Fade,https://www.wsj.com/finance/currencies/asian-currencies-consolidate-fed-rate-cut-prospects-may-support-623dc091
